"los angeles, ca 90034"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:9732824056493044601,Safeway,"645 san antonio rd, mountain view, ca 94040",safeway,4.2,1537,(650) 948-4533,local.safeway.com,safeway,Safeway,37.4018092,-122.1118435,True,True,Grocery,Bakery,,,,,
CID:5850134000323778819,Safeway Bakery,"645 san antonio rd, mountain view, ca 94040",safeway,0.0,0,(650) 948-4533,local.safeway.com,safeway,Safeway,37.4019289,-122.1120286,True,False,Bakery,,,,,,

"570 n shoreline blvd, mountain view, ca 94043"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:10634295969772017890,Safeway,"570 n shoreline blvd, mountain view, ca 94043",safeway,3.9,1437,(650) 961-4868,local.safeway.com,safeway,Safeway,37.4031265,-122.0793665,True,True,Grocery,Bakery,,,,,
CID:8696751830523091228,Safeway Bakery,"570 n shoreline blvd, mountain view, ca 94043",safeway,0.0,1,(650) 961-4868,local.safeway.com,safeway,Safeway,37.4030254,-122.0793643,True,False,Bakery,,,,,,

"580 n rengstorff ave, mountain view, ca 94043"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:5919052971663478989,Safeway,"580 n rengstorff ave, mountain view, ca 94043",safeway,4.4,529,(650) 316-6321,local.safeway.com,safeway,Safeway,37.4111327,-122.0944938,True,True,Grocery,,,,,,

"mountain view, ca 94043"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:13554242183032117452,Signature Cafe,"mountain view, ca 94043",safeway,3.0,1,,,,Safeway,37.4030018,-122.0792366,True,True,Cafe,,,,,,

"12 manor plaza, pacifica, ca 94044"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:8400492047619366235,Safeway,"12 manor plaza, pacifica, ca 94044",safeway,3.9,698,(650) 359-2751,local.safeway.com,safeway,Safeway,37.650237,-122.4918734,True,True,Grocery,,,,,,

"1380 linda mar shopping center, pacifica, ca 94044"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:2066675656459005770,Safeway,"1380 linda mar shopping center, pacifica, ca 94044",safeway,4.1,1252,(650) 359-6707,local.safeway.com,safeway,Safeway,37.594446,-122.5029562,True,True,Grocery,Bakery,,,,,
CID:16038433261724643543,Safeway Bakery,"1380 linda mar shopping center, pacifica, ca 94044",safeway,0.0,0,(650) 359-6707,local.safeway.com,safeway,Safeway,37.5945589,-122.5033024,True,False,Bakery,,,,,,

"709 hickey blvd, pacifica, ca 94044"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:5930348267235928694,Safeway,"709 hickey blvd, pacifica, ca 94044",safeway,4.1,551,(650) 290-5014,local.safeway.com,safeway,Safeway,37.6610701,-122.4776216,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:565489528329395106,Safeway Bakery,"709 hickey blvd, pacifica, ca 94044",safeway,0.0,0,(650) 290-5014,local.safeway.com,safeway,Safeway,37.6610102,-122.477594,True,False,Bakery,,,,,,
CID:4115135903605739621,Safeway Liquor,"709 hickey blvd, pacifica, ca 94044",safeway,0.0,0,,safeway.com,safeway,Safeway,37.6611593,-122.477594,True,False,"Beer, Wine & Spirits",,,,,,

"pacifica, ca 94044"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:16191248275989879018,Safeway Liquor,"pacifica, ca 94044",safeway,5.0,3,,safeway.com,safeway,Safeway,37.6501883,-122.4919204,True,True,"Beer, Wine & Spirits",,,,,,
CID:9555903226011921654,Safeway Liquor,"pacifica, ca 94044",safeway,4.0,1,,safeway.com,safeway,Safeway,37.5944116,-122.5033018,True,False,"Beer, Wine & Spirits",,,,,,

"850 woodside rd, redwood city, ca 94061"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:1739602071582267704,Safeway,"850 woodside rd, redwood city, ca 94061",safeway,4.0,845,(650) 365-2522,local.safeway.com,safeway,Safeway,37.46568,-122.2253797,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:15693173995243888449,Safeway Bakery,"850 woodside rd, redwood city, ca 94061",safeway,0.0,0,(650) 365-2522,local.safeway.com,safeway,Safeway,37.4656967,-122.2254144,True,False,Bakery,,,,,,
CID:10343981029503398889,Safeway Liquor,"850 woodside rd, redwood city, ca 94061",safeway,0.0,0,,safeway.com,safeway,Safeway,37.4657544,-122.2255144,True,False,"Beer, Wine & Spirits",,,,,,

"1071 el camino real, redwood city, ca 94063"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:11514662768230892811,Safeway,"1071 el camino real, redwood city, ca 94063",safeway,4.0,1541,(650) 306-1900,local.safeway.com,safeway,Safeway,37.4846345,-122.23045,True,True,Grocery,Bakery,,,,,
CID:868564944801269616,Safeway Bakery,"1071 el camino real, redwood city, ca 94063",safeway,0.0,0,(650) 306-1900,local.safeway.com,safeway,Safeway,37.4846001,-122.2302014,True,False,Bakery,,,,,,

"2255 gellert blvd, south san francisco, ca 94080"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:5220839507871387291,Safeway,"2255 gellert blvd, south san francisco, ca 94080",safeway,4.2,1463,(650) 588-9005,local.safeway.com,safeway,Safeway,37.6465865,-122.4520338,True,True,Grocery,Bakery,,,,,
CID:11770715914857836714,Safeway Bakery,"2255 gellert blvd, south san francisco, ca 94080",safeway,4.7,4,(650) 588-9005,local.safeway.com,safeway,Safeway,37.6469727,-122.4521817,True,False,Bakery,,,,,,

"30 chestnut ave, south san francisco, ca 94080"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:16483995163752844027,Safeway,"30 chestnut ave, south san francisco, ca 94080",safeway,3.9,1278,(650) 952-8867,local.safeway.com,safeway,Safeway,37.6555557,-122.4316232,True,True,Grocery,"Beer, Wine & Spirits",,,,,
CID:4183899870589893929,Safeway Liquor,"30 chestnut ave, south san francisco, ca 94080",safeway,4.1,7,(650) 952-8867,safeway.com,safeway,Safeway,37.6556023,-122.4316432,True,False,"Beer, Wine & Spirits",,,,,,

"sunnyvale, ca 94086"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:3627295607080749990,Safeway Liquor,"sunnyvale, ca 94086",safeway,0.0,0,,safeway.com,safeway,Safeway,37.3572183,-122.0175032,True,True,"Beer, Wine & Spirits",,,,,,

"150 e el camino real, sunnyvale, ca 94087"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:17460182565333639319,Safeway,"150 e el camino real, sunnyvale, ca 94087",safeway,4.2,2520,(408) 732-1259,local.safeway.com,safeway,Safeway,37.3646576,-122.0307124,True,True,Grocery,Bakery,,,,,
CID:16833888890227017985,Safeway Bakery,"150 e el camino real, sunnyvale, ca 94087",safeway,5.0,1,(408) 732-1259,local.safeway.com,safeway,Safeway,37.3649366,-122.0307302,True,False,Bakery,,,,,,

"639 s bernardo ave, sunnyvale, ca 94087"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
